negative_lm,positive_lm,negative_swn,positive_swn,Date,Price,lm_prediction,swn_prediction,actual
0.0,0.0,0.0,0.0,1995,17.238289,SELL,SELL,BUY
0.0,0.0,0.0,0.0,1997,37.494026,SELL,SELL,BUY
0.0,0.0,0.0,0.0,1999,87.595604,SELL,SELL,BUY
0.0,0.0,0.0,0.0,2001,107.07457,SELL,SELL,SELL
0.0,0.0,0.0,0.0,2003,74.760994,SELL,SELL,BUY
0.0,1.0,0.0,0.0,2004,94.866158,BUY,SELL,SELL
0.0,0.07095907001148993,0.0,0.0,2005,89.311661,BUY,SELL,SELL
0.0,0.07095907001148993,0.0,0.0,2006,77.724663,BUY,SELL,BUY
0.026748417712236343,0.03491931044468672,0.0,0.0,2007,94.789673,BUY,SELL,BUY
0.026748417712236343,0.03491931044468672,0.0,0.0,2008,102.39962,BUY,SELL,SELL
0.65827294479272,1.0,0.0,0.0,2009,87.619499,BUY,SELL,BUY
1.0000000000000002,1.0,0.0,0.0,2010,117.007645,SELL,SELL,BUY
0.08058172866345015,0.05519888414674013,0.0,0.0,2011,154.875717,SELL,SELL,BUY
0.08058172866345015,0.05519888414674013,0.0,0.0,2012,184.13002,SELL,SELL,BUY
0.65827294479272,1.0,0.0,0.0,2013,194.139572,BUY,SELL,SELL
0.048953141058722956,0.0353390703166537,0.0,0.0,2014,168.910141,SELL,SELL,SELL
0.9384466841812702,0.9253295212816258,1.0000000000000002,0.9723359737800065,2015,146.567871,SELL,SELL,SELL
0.03208342767456649,0.0519564362053446,0.0,0.0,2016,119.302101,BUY,SELL,BUY
0.03067094168471851,0.06492979904624155,0.0,0.0,2017,166.845123,BUY,SELL,SELL
0.020189851102365437,0.06492979904624155,0.0,0.0,2018,156.500961,BUY,SELL,SELL
0.020090235800697617,0.06269647025488105,0.0,0.0,2019,128.508606,BUY,SELL,BUY
0.9261143321827506,0.9180012483897836,1.0000000000000002,0.9965457582448798,2020,137.40918,SELL,SELL,SELL
0.9166682900265016,0.8161514995377722,0.9899494936611667,0.9970544855015817,2021,113.871895,SELL,BUY,TBD
