negative_lm,positive_lm,negative_swn,positive_swn,Date,Price,lm_prediction,swn_prediction,actual
0.0,0.0,0.0,0.0,1998,31.568001,SELL,SELL,BUY
0.0,0.0,0.0,0.0,1999,32.122906,SELL,SELL,SELL
0.0,0.0,0.0,0.0,2000,30.704813,SELL,SELL,BUY
0.0,0.0,0.0,0.0,2001,31.074751,SELL,SELL,SELL
0.0,0.0,0.0,0.0,2002,21.574755,SELL,SELL,SELL
0.0,0.0,0.0,0.0,2003,17.904976,SELL,SELL,BUY
0.0,0.0,0.0,0.0,2004,24.534254,SELL,SELL,BUY
0.327076926964752,0.6428307534160127,0.7663158702835567,0.49662101795489794,2005,26.803205,BUY,SELL,SELL
0.12277184329136702,0.7096518360519888,0.0,0.0,2006,24.40601,BUY,SELL,BUY
0.1711627850534493,0.6889645680059596,0.0,0.0,2007,33.728436,BUY,SELL,SELL
0.4141976423919106,0.3803860324642422,0.8218338815227791,0.7529970652300326,2008,30.32,SELL,SELL,SELL
0.5564966127867779,0.5088156242163768,1.0,1.0,2009,22.309999,SELL,SELL,BUY
0.8454571325143849,0.937056649314994,0.9873109977214474,0.7842652613903436,2010,31.879999,BUY,SELL,BUY
0.9326208848370607,0.9252979227893096,0.9664638426433967,0.9898255969640315,2011,39.450001,SELL,BUY,BUY
0.9780983552358788,0.9810538787703647,0.9812824905505806,0.9694507283531135,2012,39.91,BUY,SELL,BUY
0.0,0.0,0.0,0.0,2013,50.580002,SELL,SELL,BUY
0.0,0.0,0.0,0.0,2014,75.389999,SELL,SELL,BUY
0.0,0.0,0.0,0.0,2015,94.25,SELL,SELL,BUY
0.4753450083460288,0.4459928398064788,1.0,1.0,2016,99.25,SELL,SELL,BUY
0.4978816437997841,0.557955617591802,1.0,0.0,2017,108.980003,BUY,SELL,BUY
0.6089737638066287,0.6713743852965265,1.0,0.0,2018,111.620003,BUY,SELL,TBD
